ExifTool Version Number         : 13.00
Color Components                : 3
Y Cb Cr Sub Sampling            : YCbCr4:2:0 (2 2)
Aperture                        : 2.8
Image Size                      : 5280x3956
Megapixels                      : 20.9
Scale Factor To 35 mm Equivalent: 2.0
Shutter Speed                   : 1/250
Thumbnail Image                 : (Binary data 27274 bytes, use -b option to extract)
GPS Altitude                    : 51.2 m Above Sea Level
GPS Latitude                    : 32 deg 28' 49.99" N
GPS Longitude                   : 119 deg 51' 0.83" E
Preview Image                   : (Binary data 800716 bytes, use -b option to extract)
Circle Of Confusion             : 0.015 mm
Field Of View                   : 73.7 deg
Focal Length                    : 12.3 mm (35 mm equivalent: 24.0 mm)
GPS Position                    : 32 deg 28' 49.99" N, 119 deg 51' 0.83" E
Hyperfocal Distance             : 3.51 m
Light Value                     : 10.9
